連結,⬅,累了點一下,,,,,,
,,,,,,,,
,項次,日期,內容,開始時間,結束時間,網址,分類,分支
,1,2022/11/28,終於跟你們老闆見面啦 臭婚叫,,,https://youtube.com/clip/Ugkxr9avBI_QzA04sGgEVjFZjMALK7c9U6gn?si=YTpAYXSO0uDOiJyz,日常,
,2,2022/11/28,hoyo hoyo 你們很煩ㄟ,,,https://youtube.com/clip/UgkxluXF0HeB0GqC_XMGm3dVHs94Dkk-TO1J?si=49y5thY3ULiSRyeH,日常,
,3,2022/11/28,我是不會停的,,,https://youtube.com/clip/Ugkxlu5uF7jHIXZEYfP_DVB62qKXocIRo1-o?si=btJ4R1V6wcyCvS-v,日常,
,4,22/11/28,直笛鐵達尼歌,,,https://youtube.com/clip/UgkxqMKYtRUAEi4t4k4tc2mnmmiGMiFRs_Ki?si=x9HuhpVvwKh0sqGm,日常,直笛
,5,2022/11/28,齁優 討厭,,,https://youtube.com/clip/UgkxDVCciTJ4RwlTfPSgKHdA4dLIcZ_Nyw93?si=9PrCjJKN4b2hAHbZ,日常,
,6,2022/11/28,踩+罵倒,,,https://youtube.com/clip/UgkxgeX3PVBskkxBB8havkYzwfBF56WUPngu?si=K9X69ngS0uJCeGfd,福利,罵倒
,7,2022/11/29,立旗不會清唱,,,https://youtube.com/clip/UgkxtstCSnbJWd6MrsKCmjkxVaPL3_obwU68?si=HOkujSROnsyPlMrb,日常,立旗
,8,2022/11/30,難喝拿鐵,,,https://youtube.com/clip/UgkxZ8k3jsZWMj83cYITL-F0KkPzfPbMym9F?si=Evj_OjIyMPspPmrb,怪聲音,
,9,2022/11/30,打不開醬油的怪聲音,,,https://youtube.com/clip/UgkxijSQoXEJAQCfxKRdFwC8KjDPsmc1HF_C?si=MqLR4Egz_R8ua2Mi,怪聲音,
,10,22/11/30,中二台詞,,,https://youtube.com/clip/UgkxJ6P6R4dyrG1tq9jvhAFssmMv-kofkfmc?si=V25x02Gzy1vmuRfO,福利,台詞
,11,2022/12/1,可愛 I HEAT U,,,https://youtube.com/clip/UgkxBcFprNAS0twqqHzHvwz7I3np3D8B6d-7?si=eidO9Pi5hdvrvHj2,日常,
,12,2022/12/1,耳朵業障重,,,https://youtube.com/clip/Ugkx-T0z7atGiiaZNFX1ZPp6wx9jbovQrWFq?si=Vl30F3MtlQpALkwA,日常,
,13,22/12/2,擊掌,,,https://youtube.com/clip/UgkxK7m9m9qOATyzE5CpC8AvTnagoPKqHQU9?si=pYR63nq5I2RgMu1h,日常,
,14,2022/12/5,外面有包皮,,,https://youtube.com/clip/Ugkx4CrgvxsSccualvrb433X0On6Yg6_t5jT?si=agD_WvYpPzI9cacd,暴言,
,15,2022/12/5,割掉就好,,,https://youtube.com/clip/UgkxhfOD2lLzajQ1J8d-ZKYyZcGzk9S7ReW0?si=oC87-MjQ12KJ6qhn,暴言,
,16,2022/12/6,打遊戲的怪聲1,,,https://youtube.com/clip/UgkxSlkO3YSOOD8qpkjHICUirfs_XqIp4CY4?si=YgSbgzRqScnsUgkE,叫聲,哀嚎
,17,2022/12/6,打遊戲的怪聲2,,,https://youtube.com/clip/Ugkx04qTXQRqYs_kGb0jRqS22k0eBtuvCbto?si=yetLXfVdKH9nALLj,叫聲,哀嚎
,18,22/12/6,打遊戲的怪聲3,,,https://youtube.com/clip/UgkxF_HX9qJ91s3K_lukMfyQ7Pyxgq_iDmCL?si=InpRfniF3nVruidQ,叫聲,
,19,2022/12/6,打遊戲的怪聲4,,,https://youtube.com/clip/UgkxiNrvvPzaroFGQM1XyO2ZfUF8ZBFP5IEP?si=16dLkIy0f4Skran5,怪聲音,
,20,2022/12/7,GI JOE 1,,,https://youtube.com/clip/UgkxN23MSD8dQtgY6hsf7wPdiB8ixc8BHBKO?si=SYA48M4hVZqWPVW0,日常,
,21,2022/12/7,GI JOE 2,,,https://youtube.com/clip/UgkxIDYHgMmHZtMzUbiR8YOzzeDkDjrxytYd?si=MqhslOB2xlWilXCU,日常,
,22,2022/12/7,千本ㄌㄌ,,,https://youtube.com/clip/UgkxoiJ90YqgAMBx7AtvWlmA3V1VMlLKtvfE?si=HC_VYJSrnw-aPYaC,模仿,
,23,2022/12/7,GI JOE 3,,,https://youtube.com/clip/Ugkx0Amwne583YkYnoUzDqxGcogOl28EU8SS?si=RnxW87DBPhpRrk19,模仿,
,24,2022/12/9,命運交響曲,,,https://youtube.com/clip/UgkxxLhuRywHnZ4pvAmFiszYh5qKm2yMDYZj?si=ccCr_dCwAf5ZOiHZ,唱歌,
,25,2022/12/9,喔~雪莉~,,,https://youtube.com/clip/UgkxfUOogu6atXp0i5zx26SIyRD8wJi7HJ1u?si=1kL8rgU5H4lls_h1,模仿,
,26,2022/12/9,上鉤EEOO,,,https://youtube.com/clip/Ugkx_-N1NvDbk2NCnA1ilKhveXm187D9E2V-?si=70K59Nuk61pPqZ4h,叫聲,釣魚
,27,2022/12/9,上鉤無能狂怒,,,https://youtube.com/clip/Ugkx4dEUN0k5RYHNDE-I-yiU2v9_xRimtym4?si=E7rMieUXF-PxS9_S,叫聲,
,28,2022/12/9,上鉤狂˙怒,,,https://youtube.com/clip/UgkxuOtDj7dyh_-Mtpg-_JWHxcCPYELuqoVa?si=oIls7lVmHisYWik6,叫聲,釣魚
,29,2022/12/10,不哭不哭,,,https://youtube.com/clip/Ugkx4YjNdFbX21uaaIwNLkjIXdNbQd39uU4l?si=RO8CpV2rwNl3aivQ,日常,
,30,2022/12/10,告白環節,,,https://youtube.com/clip/UgkxEtXHRvH-yb-r1077X1JnqECry88abjvB?si=ma9NZZaH97T9PcgI,福利,真情告白
,31,2022/12/10,累了就去睡阿,,,https://youtube.com/clip/UgkxWySmJWeiunMx3EgwUP72T2wchdHyOrJ5?si=t5GLga_IO__qDPxM,日常,好ㄋㄞ
,32,2022/12/10,被釣拍桌,,,https://youtube.com/clip/Ugkxq2WhZoP0HDTadBYfZ39wr4uVYo_FVTh_?si=xtYkn_uhdonjWyqA,叫聲,釣魚
,33,2022/12/10,ㄋ一ㄚ,,,https://youtube.com/clip/Ugkxubp_HBiNjBMaO7fr_Na7gKDdaz1ALeNl?si=iMqzlzAMslcu9ckJ,叫聲,害羞叫
,34,2022/12/12,歌+埃傘店,,,https://youtube.com/clip/Ugkx-ZOU49YWXjKHIWqvwltzzNHHu_4dT2sh?si=ULSrp3oQWmIVyrAp,模仿,閃電
,35,22/12/13,有毒小刀,,,https://youtube.com/clip/Ugkx-tQupwBWS882RzWVb0nmxLsbywKZDVTO?si=JTeknqvnQ49Ct3hh,日常,
,36,2022/12/13,雞8逗笑,,,https://youtube.com/clip/Ugkxy88HTUDqUZdkIvooUJzwDmp-jDkLc5WP?si=f6wZGRZYmCNp2b68,暴言,
,37,2022/12/13,EEOO大意了沒閃,,,https://youtube.com/clip/UgkxlW9cZWoWGwFlAtjS4wN7PXfPbUDgvFwW?si=LlfvdA3zP_0abU_0,叫聲,EEOO
,38,22/12/13,今天就算!@#也不會換槍,,,https://youtube.com/clip/UgkxXVERcLQdW8uE0P2triX23Eidb_a1Ajlk?si=sk8mYZqndhVfhPHj,日常,
,39,2022/12/13,ㄟ真香,,,https://youtube.com/clip/UgkxHVJh21bTCAIzZnP0seIEzgsCzXNTZFhg?si=MBpe-hKGipXnuBo4,笑聲,
,40,2022/12/13,老闆開門~~~,,,https://youtube.com/clip/UgkxA2w1PhQRD16g90AQvcH9oNWjZE_cUvAp?si=xPLYlIQhe6c6HyKS,叫聲,
,41,2022/12/13,超喜歡玩大便,,,https://youtube.com/clip/Ugkxl9YPaGTQz_YAotwiJKO-SaEHTUWuOcEY?si=yFQH71_g4vKiATy5,SNP,
,42,2022/12/13,我要把你抓出來BAN掉阿,,,https://youtube.com/clip/Ugkx6c8LQesa3i8upoefPQogPccVGKAvo8QF?si=oJD3iPbd-trPAhFt,日常,自釣
,43,2022/12/15,麻煩女友,,,https://youtube.com/clip/UgkxHJ8N1RGWYInDQrcenCBzyaX0pwqNexqf?si=kXtGnxd50cOs8snY,日常,
,44,2022/12/15,你媽怎麼把你生這麼醜,,,https://youtube.com/clip/Ugkxmw24hcsrHnz8et06AeimUnF3ZngcEvC4?si=PpYboTGihJpBLu8F,日常,
,45,2022/12/15,ㄤㄟ阿爆炸,,,https://youtube.com/clip/Ugkxjq2l3Ultn4QHdgzX_31_r9U6-nhD_DrA?si=R9T1DCit_bhgwhy_,模仿,
,46,2022/12/15,我智齒發芽了,,,https://youtube.com/clip/Ugkxyjlu0u7fhM19DbfcZUFGLX6JmeO3UbgX?si=esB3f4Tvoto2z9VU,日常,嘴ㄆㄧㄚˊ
,47,2022/12/17,被打倒怪聲,,,https://youtube.com/clip/UgkxvB46zD2AmhDwMtY8NcoYStfDecrAr5mB?si=9j1DWRjQp0VNHX8R,怪聲音,
,48,2022/12/17,被打倒怪聲 2,,,https://youtube.com/clip/Ugkxt-SV-lqZSGlFwtm-Jc5XWH09uYnXmXTt?si=8l4PjREq24iJkamP,怪聲音,
,49,2022/12/17,湯圓姊妹怪聲,,,https://youtube.com/clip/UgkxcA6R-0g98WeesL8bMyFWeJ5Jzaqab9SO?si=W9ubppMY-LzIWG8d,臭人,湯圓姊妹
,50,2022/12/17,怪聲2,,,https://youtube.com/clip/Ugkxh6FwHceGYc5XQv7F7jncGDgPS3PnHw5h?si=i3RxsyokUyWDMM0y,臭人,湯圓姊妹
,51,2022/12/17,啟示蟒包,,,https://youtube.com/clip/UgkxvYV1KoJJ1014JjvloB6uggiVuh3-Z4-j?si=MVr2yu2Ft4a7-UBP,日常,
,52,2022/12/17,怪聲3,,,https://youtube.com/clip/UgkxiRMeMksyjoXdaJFvRk-7Zo2sNjORmle0?si=J35WJV4dnZlwbBhj,怪聲音,
,53,2022/12/19,你跟哪個女人的,,,https://youtube.com/clip/UgkxddN3JIVi3x0GQIhQgiHLLqwsPAnF16yJ?si=jS4F8Xqu9MA7qViF,日常,審問
,54,2022/12/19,裡ㄟ良心底ㄉ,,,https://youtube.com/clip/UgkxOf_H2-hzSAU7CIXWnm42BC28wabhOW0o?si=4QWmqQ7WVvwDUGWO,日常,審問埃醬
,55,2022/12/19,皮卡丘給你要跟媽嘿嘿嘿,,,https://youtube.com/clip/UgkxuAjag8eS9sywxsV5Bfg39Gkr9Ll5y301?si=G0bv6i6IB-S5sRxy,日常,蛤
,56,2022/12/21,起床超可愛EEOO,,,https://youtube.com/clip/Ugkx8lM0fONRQcD8zXBLNkDS4-1ddpoJJxxa?si=dt54z_IeXs76GEjW,怪聲音,EEOO
,57,2022/12/21,上勾破防,,,https://youtube.com/clip/UgkxvB3zYa6N6SrjerGkgD5QN3Sri_LY3mKV?si=qG48Do_4YCnknNhP,叫聲,EEOO
,58,22/12/21,怪聲 1,,,https://youtube.com/clip/UgkxWR-TNcdlA3U0Hw8uoKIvG9E98tpJ0086?si=f-_iDBYAzLGEKLBb,怪聲音,
,59,2022/12/22,開場PON 1,,,https://youtube.com/clip/UgkxGq78x4GHWlrz81IJlzakPK_BKbQ8ixtK?si=lrd4IPQeIphObJ-W,日常,PON
,60,22/12/22,開場PON 2,,,https://youtube.com/clip/UgkxbAKye7QgFy46umQ6jsZM8OIzj7FgNJR7?si=tXZcEKynbZ9v0AM_,日常,PON
,61,2022/12/22,我討厭你們,,,https://youtube.com/clip/UgkxiavinbTQ08QB1fz6WMBsyFYHWX-LszVJ?si=jcSwSYb0aLSROn_q,日常,
,62,22/12/22,人類4條腿,,,https://youtube.com/clip/UgkxlgUK8kj6lFp1MG-EYWiuhV_M3x6tKj9x?si=h0J-HnjZo0i7velo,日常,嘴ㄆㄧㄚˊ
,63,2022/12/22,HEHE HAHA,,,https://youtube.com/clip/UgkxDOD3kimXeH48QCu7YhvHmKOD1_6V4hG6?si=BA0DjAekgofHKBX0,笑聲,
,64,2022/12/22,我就喜歡跟你ˇ們聊天阿,,,https://youtube.com/clip/UgkxQEOc1m3flQm9nLKpbRw3ky1NRurqSftL?si=NjeRALnOfKShlvWM,福利,
,65,2022/12/23,微笑小熙歌,,,https://youtube.com/clip/UgkxMZ5DI57E4ASMMTHdvyQA1zEZDyam6daF?si=8FTn7EY_lrmmhYsH,福利,台詞
,66,2022/12/23,中2,,,https://youtube.com/clip/UgkxHRoIOGhz_CyxZFWxNLyZf4lzqeNNp_oK?si=CKS7HKyz0f84rV_2,福利,台詞?
,67,2022/12/23,萌え萌え,,,https://youtube.com/clip/UgkxNAjsWsWT1U9OBVgehadAkJDqYYKV9QkE?si=EI1UyQRGkP47TIpu,福利,台詞
