連結,⬅,累了點一下,,,,,,
,,,,,,,,
,項次,日期,內容,開始時間,結束時間,網址,分類,分支
,,,,,,,,
,1,2023/8/1,有鄉民的30公分 所以會泡…(暴言),0:34:55.5,0:35:10.0,https://www.youtube.com/watch?v=CG7DU9KwMao,暴言,
,2,2023/8/1,便便姐姐,1:46:00.0,1:46:42.0,https://www.youtube.com/watch?v=CG7DU9KwMao,SNP,
,3,2023/8/1,歌劇+噗,2:13:43.5,2:13:54.0,https://www.youtube.com/watch?v=CG7DU9KwMao,唱歌,SNP
,4,2023/8/1,王熙歌笑聲收集,2:13:25.5,2:13:30.5,https://www.youtube.com/watch?v=CG7DU9KwMao,笑聲,
,5,2023/8/2,莞爾的台語要怎麼講,1:39:45.5,1:40:07.5,https://www.youtube.com/watch?v=tmXBhDOeuos,日常,台語
,6,2023/8/2,大家安安(用唱的),0:03:47.0,0:03:57.0,https://www.youtube.com/watch?v=B62t_JjCAnE,唱歌,打招呼
,7,2023/8/3,恩~~~略!好奇怪的味道喔!!!,0:41:51.0,0:41:57.0,https://www.youtube.com/watch?v=vrUieNp1T6U,怪聲音,
,8,2023/8/4,快死掉的早安,0:02:49.0,0:02:59.0,https://www.youtube.com/watch?v=Te94RE_4PJw,日常,打招呼
,9,2023/8/4,果然翁~歌,0:06:35.5,0:06:43.5,https://www.youtube.com/watch?v=Te94RE_4PJw,模仿,
,10,2023/8/4,王熙歌不要吐槽,0:23:56.0,0:24:07.0,https://www.youtube.com/watch?v=Te94RE_4PJw,日常,自言自語
,11,2023/8/4,歌誇誇:聊天室的氛圍讚讚,0:39:54.0,0:40:40.0,https://www.youtube.com/watch?v=Te94RE_4PJw,福利,夸夸
,12,2023/8/4,如果熙喵也是一種蘿莉(熙喵罵倒),0:46:51.0,0:47:19.0,https://www.youtube.com/watch?v=Te94RE_4PJw,分靈體,熙喵
,13,2023/8/4,噗+三階段 啊!!!,0:47:25.0,0:47:30.0,https://www.youtube.com/watch?v=Te94RE_4PJw,叫聲,
,14,2023/8/4,下一站的傳票~,0:50:21.0,0:50:36.0,https://www.youtube.com/watch?v=Te94RE_4PJw,臭人,朋友
,15,2023/8/4,想跟你有法律上的瓜洗(乙緹模仿),0:50:56.0,0:51:03.0,https://www.youtube.com/watch?v=Te94RE_4PJw,臭人,朋友
,16,2023/8/4,熙歌的觀眾年齡都很大,0:52:03.0,0:52:30.0,https://www.youtube.com/watch?v=Te94RE_4PJw,臭人,聊天室
,17,2023/8/4,哈哈!UCCU!哈哈哈哈哈,0:52:32.5,0:52:37.5,https://www.youtube.com/watch?v=Te94RE_4PJw,日常,嘲諷
,18,2023/8/4,死相啦~死相啦齁~,1:04:26.5,1:04:32.0,https://www.youtube.com/watch?v=Te94RE_4PJw,模仿,熙姨
,19,2023/8/4,我沒有兜仔(肚臍)阿,1:11:25.5,1:11:30.0,https://www.youtube.com/watch?v=Te94RE_4PJw,日常,迷惑
,20,2023/8/4,有啦我有兜仔! 哈氣~,1:12:22.5,1:12:30.0,https://www.youtube.com/watch?v=Te94RE_4PJw,日常,迷惑
,21,2023/8/4,我現在要表現出IQ3的樣子嗎,0:17:06.5,0:17:13.2,https://www.youtube.com/watch?v=ApoP2UV0XBc,模仿,北七
,22,2023/8/4,诶!這裡怎麼會有陷阱阿!!@#%@^%^,0:25:29.0,0:25:35.5,https://www.youtube.com/watch?v=ApoP2UV0XBc,叫聲,
,23,2023/8/4,ㄍ ㄏ~~~為什麼?!你為什麼這個也可以撞!,0:30:34.5,0:30:43.0,https://www.youtube.com/watch?v=ApoP2UV0XBc,叫聲,
,24,2023/8/4,我現在IQ有10了拔拔(珍珍),0:41:41.2,0:41:48.2,https://www.youtube.com/watch?v=ApoP2UV0XBc,模仿,珍珍
,25,2023/8/4,閃開!讓專業的來(哈欠版),0:43:08.5,0:43:13.0,https://www.youtube.com/watch?v=ApoP2UV0XBc,日常,
,26,2023/8/4,快快快快快!時間要不夠了!阿~~~~~,1:06:49.0,1:06:54.0,https://www.youtube.com/watch?v=ApoP2UV0XBc,叫聲,
,27,2023/8/4,我快過了(氣到哭哭),1:33:33.0,1:34:16.5,https://www.youtube.com/watch?v=ApoP2UV0XBc,叫聲,氣到哭
,28,2023/8/5,哈啾!啊(噴嚏),0:28:42.0,0:28:47.0,https://www.youtube.com/watch?v=bT58x4_MY_4,噴嚏,噴嚏
,29,2023/8/6,笑-憋笑-沒忍住(笑聲蒐集),1:10:12.0,1:10:42.0,https://www.youtube.com/watch?v=pk93TtOwJBo,笑聲,
,30,2023/8/7,拔拔!你!又!毀了!一切!(珍珍),0:40:36.5,0:40:44.5,https://www.youtube.com/watch?v=LmE_He2s5uc,模仿,珍珍
,31,2023/8/7,熙歌親傳婚叫認親方式,2:16:07.0,2:17:10.0,https://www.youtube.com/watch?v=LmE_He2s5uc,日常,認親
,32,2023/8/9,對花子老師告白 歌也是曹賊,0:26:23.0,0:26:36.0,https://www.youtube.com/watch?v=gKO46K36iL8,暴言,
,33,2023/8/9,棄質感~嘖! NICE!,0:42:24.5,0:42:29.0,https://www.youtube.com/watch?v=gKO46K36iL8,日常,蛤
,34,2023/8/9,握好你的股票 內心要堅定~,1:05:07.5,1:05:20.2,https://www.youtube.com/watch?v=gKO46K36iL8,唱歌,迷因
,35,2023/8/9,曹氏宗親會集合! 速速咩!,1:13:09.0,1:13:12.0,https://www.youtube.com/watch?v=gKO46K36iL8,日常,迷惑
,36,2023/8/9,玩杜比環繞音效(在耳邊說話),1:13:54.0,1:13:59.0,https://www.youtube.com/watch?v=gKO46K36iL8,日常,迷惑
,37,2023/8/9,熙歌是75%棄質和25%迷因組成的 咩錯,1:15:32.5,1:15:42.0,https://www.youtube.com/watch?v=gKO46K36iL8,日常,蛤
,38,2023/8/9,你滿了 那我就漫出了,1:19:02.0,1:19:13.0,https://www.youtube.com/watch?v=gKO46K36iL8,日常,迷因
,39,2023/8/9,迷因唱歌笑,1:44:10.0,1:44:20.0,https://www.youtube.com/watch?v=gKO46K36iL8,唱歌,迷因
,40,2023/8/9,啵啵音,1:46:39.0,1:46:46.5,https://www.youtube.com/watch?v=gKO46K36iL8,怪聲音,福利
,41,2023/8/9,環繞啵啵音,1:46:51.5,1:47:01.0,https://www.youtube.com/watch?v=gKO46K36iL8,福利,啵啵
,42,2023/8/9,說聊天室小G8 還會找補的歌,2:05:27.0,2:06:33.0,https://www.youtube.com/watch?v=gKO46K36iL8,日常,蛤+誇誇
,43,2023/8/9,如果想成為熙歌的小G8,2:17:39.6,2:17:46.0,https://www.youtube.com/watch?v=gKO46K36iL8,暴言,
,44,2023/8/9,少見多怪 心肌拉奈,0:38:15.5,0:38:19.5,https://www.youtube.com/watch?v=tIzqEhegejk,日常,
,45,2023/8/10,歌被打雷嚇到 嗚~~~~,0:20:34.5,0:20:42.5,https://www.youtube.com/watch?v=pPIucGvnjis,叫聲,打雷
,46,2023/8/10,你各位~阿不然我為什麼會這麼喜歡你們,1:13:11.0,1:13:17.0,https://www.youtube.com/watch?v=pPIucGvnjis,福利,告白
,47,2023/8/12,早安燉肉 請問你可以甜一點嗎(音質不好),1:17:46.0,1:17:53.5,https://www.youtube.com/watch?v=c-sBQ9BLg5c,日常,迷惑
,48,2023/8/13,再來啊 不是很會瞪 PK阿 莫名奇妙 兇屁兇 0杯欠你的阿,1:49:26.0,1:49:41.5,https://www.youtube.com/live/cwiCMNpewD8,日常,躁
,49,2023/8/14,給你玩遊戲喔 AAAAAAAA,2:05:17.6,2:05:24.0,https://www.youtube.com/watch?v=MstGiS0njRY,日常,迷惑
,50,2023/8/15,大家好 我是極深空計畫 氣質….,0:06:40.5,0:06:56.0,https://www.youtube.com/watch?v=jSIm6T6ZcPg,日常,蛤
,51,2023/8/15,完美的Vtuber 原來是會吹杏鮑菇,0:09:54.5,0:09:57.5,https://www.youtube.com/watch?v=jSIm6T6ZcPg,暴言,
,52,2023/8/15,我炙熱的杏鮑菇,0:11:51.5,0:11:54.0,https://www.youtube.com/watch?v=jSIm6T6ZcPg,暴言,
,53,2023/8/16,塔嗎塔嗎塔嗎,0:39:41.5,0:39:46.5,https://www.youtube.com/watch?v=fBvGIEiKROg,日常,迷因
,54,2023/8/16,塔嗎塔嗎塔嗎(左右聲道版本),0:39:57.0,0:40:17.0,https://www.youtube.com/watch?v=fBvGIEiKROg,日常,迷因
,55,2023/8/16,哈啾!啊(噴嚏) Shit,0:47:30.0,0:47:43.0,https://www.youtube.com/watch?v=fBvGIEiKROg,噴嚏,噴嚏
,56,2023/8/16,感冒開台 噴嚏咳嗽都給你們聽一聽 弄成一個素材包,0:48:33.5,0:48:52.5,https://www.youtube.com/watch?v=fBvGIEiKROg,日常,立旗
,57,2023/8/16,王熙歌起床了,0:53:43.5,0:53:55.5,https://www.youtube.com/watch?v=fBvGIEiKROg,日常,
,58,2023/8/16,其實這我的本音啦 我平常都捏著懶趴跟大家講話,1:23:54.0,1:24:10.5,https://www.youtube.com/watch?v=fBvGIEiKROg,模仿,玩聲音
,59,2023/8/16,人家是哀斗魯捏,1:25:47.0,1:25:53.5,https://www.youtube.com/watch?v=fBvGIEiKROg,模仿,玩聲音
,60,2023/8/16,王熙歌廣播宣傳中,1:32:52.0,1:34:00.0,https://www.youtube.com/watch?v=fBvGIEiKROg,日常,廣播
,61,2023/8/16,分享快樂分享愛 分享熙歌最可,1:36:23.5,1:36:29.0,https://www.youtube.com/watch?v=fBvGIEiKROg,日常,講出來
,62,2023/8/16,大家好~大家早安~(夾),1:54:01.0,1:54:10.0,https://www.youtube.com/watch?v=fBvGIEiKROg,日常,WHO
,63,2023/8/16,閃電閃電、種子種子、馬奎爾、咕嚕(合集?),2:03:48.0,2:04:15.0,https://www.youtube.com/watch?v=fBvGIEiKROg,日常,迷惑
,64,2023/8/16,5MA-熙格,0:26:44.0,0:26:45.0,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,65,2023/8/16,我要抱緊你們 聊天室-熙格,0:29:10.0,0:29:25.0,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,66,2023/8/16,就像我永遠永遠都會記得你們一樣-熙格,0:38:13.0,0:38:16.5,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,67,2023/8/16,我每天每天 都躺在大家的懷裡 好幸福-熙格,0:38:35.0,0:38:43.5,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,68,2023/8/16,你們會一直陪著我對吧-熙格,0:39:35.0,0:39:59.5,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,69,2023/8/16,想到你們可能去看別的女人-熙格,0:45:50.0,0:46:15.0,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,70,2023/8/16,你們喜歡5MA?你們喜歡幾個都可以啊-熙格,0:46:17.0,0:47:07.0,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,71,2023/8/16,啊~~~~(就只是覺得很銷魂)-熙格,1:05:33.0,1:05:38.5,https://www.youtube.com/live/3wpSvurNoko,唱歌,熙格
,72,2023/8/16,我的伴奏呢?(就只是覺得很可愛)-熙格,1:07:04.5,1:07:09.8,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,73,2023/8/16,是我的!全部!都是我的-熙格,1:10:56.0,1:11:05.0,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,74,2023/8/16,林默娘!你這個女人來幹甚麼-熙格,1:13:23.0,1:13:36.0,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,75,2023/8/16,涅默涅默涅默~~~-熙格,1:14:03.0,1:14:58.0,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,76,2023/8/16,今天你們全部一個都走不掉-熙格,1:26:59.0,1:27:10.0,https://www.youtube.com/live/3wpSvurNoko,分靈體,熙格
,77,2023/8/18,氣球?! 吹氣球ASMR,0:06:03.0,0:06:36.0,https://www.youtube.com/watch?v=ZDj-2F8RnBc,怪聲音,吹氣球
,78,2023/8/18,王熙歌笑聲蒐集-520 SET,0:07:49.0,0:08:00.5,https://www.youtube.com/watch?v=ZDj-2F8RnBc,笑聲,
,79,2023/8/18,麻麻!不是這樣的!你聽我解釋,0:13:58.5,0:14:10.2,https://www.youtube.com/watch?v=ZDj-2F8RnBc,日常,解釋
,80,2023/8/18,來喔~我們來戴套,0:15:12.0,0:15:16.0,https://www.youtube.com/watch?v=ZDj-2F8RnBc,暴言,
,81,2023/8/18,炸雞ASMR,0:19:07.0,0:19:20.0,https://www.youtube.com/watch?v=ZDj-2F8RnBc,日常,食物聲
