連結,⬅,累了點一下,,,,,,
,,,,,,,,
,項次,日期,內容,開始時間,結束時間,網址,分類,
,1,2024/04/01,我好睏啊(哈欠),00:05:23,00:05:29,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,日常,
,2,2024/04/01,接受他，了解他，成為他,00:13:45,00:13:52,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,日常,
,3,2024/04/01,其實我是你們的老...咳...媽,00:45:38,00:45:43,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,暴言,
,4,2024/04/01,其實我是男的,00:45:58,00:46:00,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,暴言,
,5,2024/04/01,啊~你們這些不坦承、不率直的小混蛋,00:59:52,00:59:56,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,日常,
,6,2024/04/01,一半裝一半，一半裝半滿(自釣),01:19:30,01:19:45,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,福利,
,7,2024/04/01,今天不管是愚人節、情人節、清明節、端午節、中秋節、你媽媽節，都要下去,01:20:43,01:20:50,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,日常,
,8,2024/04/01,歌仔戲怪聲,01:21:50,01:22:07,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,怪聲音,
,9,2024/04/01,噴嚏,01:35:46,01:35:48,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,噴嚏,
,10,2024/04/01,哎唷!!!排甚麼時候!!!我的時間他們去哪了???,01:43:21,01:43:31,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,日常,
,11,2024/04/01,不休了，休息是甚麼能吃嗎,01:43:41,01:43:43,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,日常,
,12,2024/04/01,(彈LINE鈴聲)RRR我的手機真的響了!!!,01:48:45,01:48:51,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,叫聲,
,13,2024/04/01,模仿剛學小提琴鋸木頭,02:45:44,02:45:50,https://www.youtube.com/live/cKvdk47MfJE?si=BQyq6XAxzCh2kEyv,怪聲音,
