連結,⬅,累了點一下,,,,,,
,,,,,,,,
,項次,日期,內容,開始時間,結束時間,網址,分類,
,1,2025/05/16,公開處刑!公開處刑!啊~~~~,00:00:23,00:00:27,https://www.youtube.com/watch?v=rilMjd0eRO8,叫聲,
,2,2024/12/1,啵啵啵,01:02:23,01:02:24,https://youtu.be/JISRUhN56dc?t=3743,怪聲音,
,3,,Ta~~~~~ta i ma,01:13:39,01:13:45,https://youtu.be/JISRUhN56dc?t=4419,日常,
,4,,Yabe,01:15:12,01:15:15,https://youtu.be/JISRUhN56dc?t=4513,日常,
,5,,歡迎佐哥和他的觀眾們降落 fky 為什麼每次都這個樣子 是不是有毒啊我的降落 幹！！！,02:40:37,02:40:46,https://youtu.be/JISRUhN56dc?t=9637,日常,
,6,,所有的降落都是ktv店員 啊～～～～,02:42:07,02:42:15,https://youtu.be/JISRUhN56dc?t=9735,叫聲,
,7,,（歌壞掉了）隱形的翅膀+血腥愛情故事,02:45:14,02:45:53,https://youtu.be/JISRUhN56dc?t=9914,唱歌,救命
,8,,為什麼！！！,02:45:56,02:45:56,https://youtu.be/JISRUhN56dc?t=9956,叫聲,
,9,,不要再說我為什麼帕金森（小心音量）,02:54:29,02:54:34,https://youtu.be/JISRUhN56dc?t=10469,叫聲,
,10,2024/12/4,幹好痛我要屬了,00:41:05,00:41:06,https://youtu.be/dbT-l-uB3uM?t=2466,日常,
,11,,你不要靠近我啊,01:02:37,01:02:39,https://youtu.be/dbT-l-uB3uM?t=3759,日常,
,12,2024/12/6,與其比站著的時候多高，不如比躺著......,00:47:05,00:47:08,https://youtu.be/Ew2ViGX_6so?t=2829,暴言,
,13,,（學歐比叫）,00:48:28,00:48:28,https://youtu.be/Ew2ViGX_6so?t=2909,模仿,歐比
,14,,起床起床起床床,01:23:20,01:23:27,https://youtu.be/Ew2ViGX_6so?t=5001,日常,起床
,15,2024/12/8,我願追隨xxxxx直到永遠,00:10:05,00:10:19,https://youtu.be/HN1iw622zV4?t=605,日常,
,16,,又來了！上次也這樣,00:43:47,00:43:52,https://youtu.be/HN1iw622zV4?t=2627,日常,PON
,17,2024/12/13,金蛋蛋,00:06:48,00:06:48,https://youtu.be/HnGBoxApjQw?t=408,日常,
,18,,被釣 嘖,00:24:38,00:24:38,https://youtu.be/HnGBoxApjQw?t=1478,日常,釣魚
,19,2024/12/15,提摩笑,01:10:51,01:10:54,https://youtu.be/lgaJlcjwq4c?t=4251,笑聲,
,20,,ya,00:11:23,00:11:23,https://youtu.be/lgaJlcjwq4c?t=683,日常,
,21,2024/12/19,嘖嘴連發,02:09:38,02:09:44,https://youtu.be/OZAGM-tnW-Y?t=7778,怪聲音,
,22,,,,,,,
,23,,,,,,,
,24,,,,,,,
,25,,,,,,,
,26,,,,,,,
,27,,,,,,,
,28,,,,,,,
,29,,,,,,,
,30,,,,,,,
,31,,,,,,,
,32,,,,,,,
,33,,,,,,,
,34,,,,,,,
,35,,,,,,,
,36,,,,,,,
,37,,,,,,,
,38,,,,,,,
,39,,,,,,,
,40,,,,,,,
,41,,,,,,,
,42,,,,,,,
,43,,,,,,,
,44,,,,,,,
,45,,,,,,,
,46,,,,,,,
,47,,,,,,,
,48,,,,,,,
,49,,,,,,,
,50,,,,,,,
